common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size,label,_key,length
Fischer's Clawed Salamander,LC,decreasing,Onychodactylus_rossicus,False,Cryptobranchoidea,Hynobiidae,unknown,Onychodactylus,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,47.54,0.0,0.0,0,0.0,Onychodactylus_fischeri,55,17.5276220000001
Blanco River Springs Salamander,DD,unknown,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,1.06,65.5,33.6,33.6,0,0.0,0.0,0.0,0.0,0,15.5,0,0.0,0,15,10,10,500.0,troglodytic-aquatic,Aquatic,5.0,4.0,0.0,0.0,0.0,0,0.0,Eurycea_pterophila,56,0.37794500000008
unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.91,126.0,60.0,60.0,6.43,5.19,5.26,9.21,9.35,0,0,0,1.0,0,0,0,0,2000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_conanti,57,10.5827590000001
Southern Appalachian Salamander,LC,stable,Plethodon_oconaluftee,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,0.86,172.0,77.68,77.68,12.5,7.78,7.03,16.4,20.88,0,16,0,0.0,0,0,10,10,1550.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,0.0,0,0.0,Plethodon_teyahalee,58,1.85424100000002
Great Crested Newt,LC,decreasing,Turanomolge_mensbieri,False,Salamandroidea,Salmandridae,Pleurodelinae,Triturus,unknown,1.4,180.0,80.7,80.7,11.65,7.2,6.575,17.438,19.337,16,0,0,0.0,0,0,P,P,1000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,23.46357143,24.0,0.0,600,4.3,Triturus_cristatus,59,8.28582100000005
unknown,LC,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.2,77.48,41.77,41.77,5.79,4.61,5.27,6.49,7.24,0,0,0,1.0,0,0,0,0,800.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_peruviana,60,7.13252500000002
unknown,unknown,unknown,unknown,True,Cryptobranchoidea,Hynobiidae,unknown,Pseudohynobius,unknown,0.82,198.7,86.1,76.1,0,0.0,0.0,0.0,0.0,0,12,0,0.0,0,0,P,P,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Pseudohynobius_jinfo,61,9.11303200000008
Ozark Zigzag Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,welleri,1.01,86.27,43.37,43.37,7.03,3.93,3.7,8.1,9.43,0,18,0,0.0,0,0,0,0,0.0,0,0,5.0,4.0,0.0,0.0,0.0,9,0.0,Plethodon_angusticlavius,62,8.14736300000011
unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,4.4,63.7,52.0,52.0,7.75,5.7,5.8,10.85,11.25,0,0,0,1.0,0,0,0,0,2200.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_diaphora,63,11.6680090000001
unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Oedipina,unknown,0.55,181.0,64.0,64.0,7.58,4.53,4.17,7.15,8.28,0,19.5,0,0.0,0,0,0,0,2050.0,0,0,0.0,0.0,52.2,26.0,0.0,0,0.0,Oedipina_poelzi,64,14.9457880000001
