island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length,label,_key,length
M,M1,Dactyloa,17,59.21,148.72,15.85,8.3,6.92,15.61,14.7,12.31,0.92,2.39,29.67,8.07,8.8,14.43,14.5,9.24,12.95,51.11,10.77,9.04,3.22,6.6,29.63,gemmosus,53,15.3493773016
M,M2a,Norops,2,56.55,65.84,16.98,9.43,7.55,16.61,15.57,12.96,1.05,2.61,23.51,8.08,7.5,10.69,9.78,6.75,7.09,34.3,9.72,6.89,2.99,4.31,23.9,salvini,54,22.337860939
I,I2,Norops,136,51.79,85.66,14.61,7.72,5.91,14.5,13.34,11.14,1.15,2.21,26.38,5.47,5.04,12.12,11.76,5.39,8.96,38.23,8.36,7.3,1.92,5.42,22.94,sagrei,55,38.751370133
I,I2,Anolis,3,38.67,89.85,11.51,6.79,5.02,11.42,10.36,8.64,1.06,1.72,18.86,6.57,6.36,10.12,8.82,5.27,5.78,29.99,7.22,5.04,2.19,2.81,17.26,barbouri,56,38.11206273
I,I2,Anolis,3,45.65,78.89,14.32,7.11,6.23,14.36,13.22,10.84,1.14,2.38,21.39,6.31,8.06,13.11,13.44,8.54,8.6,43.7,8.66,7.35,2.65,4.27,22.92,monticola,57,18.81544644
I,I1,Dactyloa,31,68.17,109.91,18.3,9.92,7.48,19.01,17.64,14.66,1.37,2.99,32.73,9.18,9.54,14.17,14.44,9.22,9.67,47.5,12.35,10.51,3.91,4.93,31.7,roquet,58,7.231711978
I,I2,Anolis,6,118.8,195.43,36.08,16.94,14.86,37.94,34.76,28.25,3.18,6.51,51.09,17.08,18.62,28.67,28.25,17.55,18.31,92.77,21.46,16.34,6.03,8.96,52.79,vermiculatus,59,27.37050823
I,I2,Norops,8,67.87,91.76,18.91,10.77,8.37,19.99,18.37,14.69,1.62,3.68,31.68,10.41,11.16,14.03,15.25,9.37,11.83,50.48,11.95,10.61,3.65,6.77,32.98,conspersus,60,11.50719971
M,M2b,Norops,30,32.73,45.49,9.99,5.54,4.27,9.83,9.1,7.72,0.72,1.39,15.53,5.44,5.38,8,8.96,5.41,6.19,28.56,5.71,5.22,1.92,3.35,16.2,humilis,61,13.46128858
I,I2,Anolis,1,111.52,122.38,42.16,19.23,16.21,36.49,33.43,27.26,3.06,6.17,52.67,19.15,17.04,19.17,17.47,11.03,10.98,58.65,18.37,15.08,5.04,7.02,45.51,porcus,62,6.2302970664
M,M2b,Norops,2,45.74,78.78,13.37,7.16,5.75,13.01,11.98,10.05,1.03,1.93,21.93,5.62,6.58,9.95,9.56,6.27,6.39,32.17,7.66,5.5,2.03,3.82,19,altae,63,9.268328986
M,M2b,Norops,3,34.06,57.78,10.37,5.83,4.78,10.52,9.46,7.86,1.06,1.6,14.51,5.32,6.38,8.22,9.17,5.36,4.9,27.66,6.28,4.97,1.81,2.31,15.37,quaggulus,64,13.46128858
I,I2,Anolis,4,87.64,129.41,28.94,16.8,13.67,29.79,26.94,21.78,2.85,5.17,37.92,16.24,12.68,21.36,21.35,12.8,13.52,69.03,18.01,13.84,5.34,7.65,44.84,ferreus,65,7.482849897
M,M2b,Norops,3,49.21,98.22,14.07,7.44,5.94,14.36,13.11,10.66,1.26,2.45,23.03,6.27,6.09,13.83,13.71,8.68,7.93,44.15,9.9,8.05,2.93,4.05,24.93,gaigei,66,7.362932125
M,M1,Dactyloa,4,80.39,221.18,20.87,11.16,9.58,20.76,19.23,15.8,1.53,3.43,39.73,13.32,13.54,21.65,21.74,14.63,19.74,77.76,16.94,14.07,4.92,11.26,47.18,aequatorialis,67,15.349377299
M,M1,Dactyloa,1,55.69,63.87,17.15,8.34,7.58,16.65,15.42,13.2,1.23,2.22,24.51,6.96,8.34,10.84,10.58,6.99,6.84,35.25,9.69,6.65,2.9,3.96,23.2,calimae,68,30.2604159
M,M2a,Norops,23,43.52,98.18,11.79,5.93,4.82,11.63,10.67,8.85,0.96,1.82,21.25,5.96,5.32,9.18,10.42,6.61,8.29,34.5,7.76,6.23,2.04,4.19,20.22,auratus,69,28.49664325
I,I1,Dactyloa,3,105.56,253,28.77,17.88,14.42,31.86,28.83,22.94,3.03,5.89,48.14,16.33,17.42,25.17,27.1,16.1,16.48,84.85,22.17,16.48,6.35,7.21,52.21,griseus,70,13.20564491
