,SL_TL_ratio_snoutventtotaillength_ratio_lowerCI95,SL_TL_ratio_snoutventtotaillength_ratio_estimate,SL_TL_ratio_snoutventtotaillength_ratio_upperCI95,TOTL_mm_totallength_quant_lowerCI95,TOTL_mm_totallength_quant_estimate,TOTL_mm_totallength_quant_upperCI95,SL_male_mm_snoutventlength_quant_lowerCI95,SL_male_mm_snoutventlength_quant_estimate,SL_male_mm_snoutventlength_quant_upperCI95,SL_female_mm_snoutventlength_quant_lowerCI95,SL_female_mm_snoutventlength_quant_estimate,SL_female_mm_snoutventlength_quant_upperCI95,SE_mm_snouteyelength_quant_lowerCI95,SE_mm_snouteyelength_quant_estimate,SE_mm_snouteyelength_quant_upperCI95,BW_mm_bodywidth_quant_lowerCI95,BW_mm_bodywidth_quant_estimate,BW_mm_bodywidth_quant_upperCI95,FLL_mm_forelimblength_quant_lowerCI95,FLL_mm_forelimblength_quant_estimate,FLL_mm_forelimblength_quant_upperCI95,HLL_mm_hindlimblength_quant_lowerCI95,HLL_mm_hindlimblength_quant_estimate,HLL_mm_hindlimblength_quant_upperCI95,elevation_m_maxaltitude_quant_lowerCI95,elevation_m_maxaltitude_quant_estimate,elevation_m_maxaltitude_quant_upperCI95,cvalue_quant_lowerCI95,cvalue_quant_estimate,cvalue_quant_upperCI95,HW_lowerCI95,HW_estimate,HW_upperCI95,label,_key,length
819,-0.0739362744385595,0.858155200083793,1.79024667460615,-6.10681950160676,87.4100806615607,180.926980824728,-2.30965341161814,44.2363859374668,90.7824252865518,-1.44988386839646,45.0625369753547,91.5749578191058,-2.7893701433515,3.18861866675159,9.16660747685468,-3.92432415513578,3.12532657660946,10.1749773083547,-6.55330715640893,6.21963816309075,18.9925834825904,-7.75337525987225,6.75435747888353,21.2620902176393,305.649039852925,1796.29117229084,3286.93330472876,-22.8930613650916,9.921855811872,42.7367729888356,-12.2054584611453,0.568825624406933,13.3431097099592,node 819,358,17.506822
637,0.601372753121905,1.32925631219613,2.05713987127035,48.9935235490836,122.022207948581,195.050892348079,3.8811837370672,40.2296513588557,76.5781189806442,3.93802147970013,40.2602359300113,76.5824503803226,-1.33851044212647,3.32978649024652,7.99808342261951,-3.35850921146919,2.14666383764861,7.65183688676642,1.63652202912825,11.6110976508849,21.5856732726416,0.935719526651999,12.2650154473068,23.5943113679616,99.2310044128792,1263.29475815648,2427.35851190009,-7.17974454599786,18.4458934502451,44.0715314464881,-8.98011031611918,0.995510767189006,10.9711318504972,node 637,359,0.439616
487,0.304904852000541,0.916412985649463,1.52792111929838,101.662895535926,163.015613210676,224.368330885426,44.0242169678972,74.5612215743326,105.098226180768,43.8216038233455,74.3365526659265,104.851501508507,0.0606732046183542,3.98259383168296,7.90451445874757,-0.073840151259156,4.55115522707043,9.17615060540001,0.577580520459753,8.95740177945108,17.3372230384424,1.36702936875907,10.8849756358893,20.4029219030195,-548.752127401822,429.19887125169,1407.1498699052,-20.8923227823666,0.636238852651014,22.1648004876687,-7.37561197024511,1.00508759989118,9.38578717002747,node 487,360,7.538162
585,0.361491290733729,1.03302740107986,1.70456351142599,96.398366380412,163.773701423984,231.149036467556,44.764682423357,78.2993161700288,111.833949916701,44.448487543927,77.9589004486272,111.469313353327,2.38069369487898,6.68760504742245,10.9945163999659,0.438370695154227,5.51737330497953,10.5963759148048,11.3156482928288,20.5180648495472,29.7204814062657,11.5976284701385,22.0498927377822,32.5021570054258,387.24157101098,1461.19197920282,2535.14238739467,-3.33781613898843,20.3040714275093,43.9459589940069,4.44426278724334,13.6476438734872,22.8510249597312,node 585,361,2.935861
545,-0.180206178252922,0.988461096261856,2.15712837077663,51.3155512588699,168.56814268587,285.82073411287,5.6033229159621,63.9632955500088,122.323268184055,5.67649831968261,63.9943196755815,122.31214103148,-2.4892521954014,5.00602061927928,12.50129343396,-3.62546997872174,5.21346518176959,14.0524003422609,-1.53105886106916,14.4838104968074,30.4986798546839,-2.69966045441629,15.4903058124449,33.6802720793062,-569.2791591798,1299.7055121861,3168.690183552,-25.9147593314026,15.228970515802,56.3727003630065,-10.2056956347345,5.81085228379473,21.827400202324,node 545,362,9.160815
690,0.440659352843987,1.10871744059144,1.77677552833889,35.0676614149244,102.094045844725,169.120430274526,13.2976686641652,46.658619697112,80.0195707300587,13.9715537865443,47.3084094222042,80.6452650578642,-0.217489298228567,4.06711568123406,8.35172066069668,-1.41361154295851,3.63908587555458,8.69178329406767,-0.7746154048266,8.38013995802066,17.5348953208679,-0.268554325465205,10.1295755318762,20.5277053892177,-97.2928963451158,971.095303453161,2039.48350325144,-14.5685556863338,8.95088571834951,32.4703271230328,-3.96072685817715,5.19498803870026,14.3507029355777,node 690,363,5.596914
466,-0.8704098219062,1.19483181426474,3.26007345043568,124.534159754084,331.740213217437,538.946266680791,52.5300308767467,155.662417654388,258.794804432029,52.779188000192,155.837086019102,258.894984038012,-4.55103802839486,8.69443382565846,21.9399056797118,-4.31025370615119,11.3097070054561,26.9296677170633,-11.366877079453,16.9342277063015,45.2353324920559,-13.5838837703751,18.5610017022365,50.7058871748481,-2410.93791673794,891.888340866242,4194.71459847042,-40.439613565421,32.2686292345629,104.976872034547,-15.5986237419411,12.7054473571726,41.0095184562862,node 466,364,0
906,0.0895893220379497,0.903283378525754,1.71697743501356,-12.7893097555406,68.8487568118281,150.486823379197,5.94970036472098,46.5833040470274,87.2169077293338,22.205102169633,62.8093576830891,103.413613196545,-1.60396035022699,3.61468406128225,8.83332847279149,-2.56934924474994,3.58483095915711,9.73901116306417,-4.13953408197164,7.01094843440005,18.1614309507717,-5.19199733958587,7.4729140186995,20.1378253769849,425.144170433118,1726.43988729031,3027.73560414749,-22.4910560246482,6.15559915983126,34.8022543443107,-11.0374782516885,0.114172976134559,11.2658242039576,node 906,365,15.13693
818,0.0327380678762668,0.884909427975545,1.73708078807482,15.3369910294063,100.835492177218,186.33399332503,6.89272042573781,49.4477729538929,92.002825482048,8.09669188380185,50.6210084507365,93.1453250176711,-2.06624134100176,3.39917808853905,8.86459751807987,-2.92522280777705,3.51997127081351,9.96516534940407,-4.86045716767909,6.81730030882782,18.4950577853347,-5.74617707130588,7.51762232808006,20.781421727466,279.079610658904,1641.90994238344,3004.74027410797,-19.5620375748583,10.4392373714319,40.4405123177222,-10.0585019316774,1.62047952135865,13.2994609743947,node 818,366,3.669046
833,0.264501730354924,1.0784811552407,1.89246058012647,69.6659709663394,151.332668594835,232.99936622333,41.2623322074723,81.910186388838,122.558040570204,41.722515147783,82.3410108676831,122.959506587583,0.9414696516323,6.16194427952741,11.3824189074225,1.66139544725343,7.81773396672343,13.9740724861934,2.74688333590223,13.9012764072385,25.0556694785748,2.60274968424203,15.2721027186536,27.9414557530651,758.405879962688,2060.1579706511,3361.91006133951,-16.9927344639973,11.6639673098998,40.3206690837969,-1.31980767156225,9.83575452110099,20.9913167137642,node 833,367,9.551313
