species,common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size
Bolitoglossa_sima,unknown,VU,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.88,98.1,47.25,47.25,6.95,5.45,5.98,8.88,9.6,0,0,0,1.0,0,0,0,0,1000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_sombra,Shadowy Web-footed Salamander,VU,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.22,180.11,61.0,83.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,1,33.5,50.5,2300.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_sooyorum,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.0,142.0,65.0,72.0,0,0.0,0.0,0.0,0.0,0,13,0,1.0,1,0,27.5,27.5,3000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_spongai,unknown,EN,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.98,92.8,46.0,46.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,9.5,9.5,2800.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_striatula,unknown,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,bolitoglossa,1.0,130.0,59.0,66.0,8.92,5.64,5.5,10.8,11.59,0,0,0,1.0,1,0,0,0,1052.0,0,0,0.0,0.0,62.7,26.0,0.0,0,0.0
Bolitoglossa_stuarti,unknown,DD,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,mayamandra,1.3,105.6,51.1,60.0,9.72,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,2000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_subpalmata,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.86,130.0,60.0,60.0,9.54,6.4,6.28,12.06,12.04,0,0,0,0.0,0,0,0,0,2900.0,0,0,5.0,4.0,65.21,26.0,0.0,0,0.0
Bolitoglossa_suchitanensis,unknown,unknown,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,94.8,0.0,54.3,12.7,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,2042.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_synoria,unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,1.0,92.0,46.0,46.0,8.42,6.64,6.34,13.4,13.66,0,0,0,1.0,0,0,0,0,2150.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_tatamae,unknown,NT,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.0,147.8,62.3,73.9,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,1,19.5,19.5,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_taylori,unknown,DD,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,0.0,0.0,64.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,0,0,1400.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_tica,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,0.0,59.7,53.9,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,2500.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_tzultacaj,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,100.05,43.6,57.5,13.14,0.0,0.0,0.0,0.0,0,0,1,1.0,1,1,14,14,1800.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_vallecula,unknown,LC,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,0.0,58.0,58.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,0,0,3000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_veracrucis,unknown,EN,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,mayamandra,0.0,0.0,55.0,55.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,1000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_walkeri,unknown,NT,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.0,0.0,41.0,41.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,2050.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_xibalba,unknown,unknown,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,mayamandra,0.0,87.55,50.9,49.7,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,2760.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_yucatana,unknown,LC,decreasing,Spelerpes_yucatanicus,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,bolitoglossa,0.74,129.0,55.0,55.0,8,6.08,6.0,10.35,11.35,0,0,0,1.0,0,0,0,0,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
