species,island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length
vanzolini,M,M1,Dactyloa,1,99.25,125.97,31.6,15.13,13.41,30.92,28.12,23.01,2.8,5.11,51.13,18.64,15.59,14.87,16.23,10.37,10.22,51.69,17.75,13.21,4.46,6.71,42.13
vaupesianus,M,M1,Dactyloa,2,77.25,170.62,22.27,11.14,9.31,23.82,21.44,17.45,1.19,2,36.34,10.65,10.84,17.84,17.21,10.5,9.94,55.49,14.32,10.15,4.09,5.36,33.91
ventrimaculatus,M,M1,Dactyloa,18,71.63,184.29,18.25,10.08,8.16,18.53,17.14,14.24,1.39,2.89,33.47,10.02,10.81,19.45,19.6,12.33,13.57,64.94,13.35,11.14,3.89,6.16,34.54
vermiculatus,I,I2,Anolis,6,118.8,195.43,36.08,16.94,14.86,37.94,34.76,28.25,3.18,6.51,51.09,17.08,18.62,28.67,28.25,17.55,18.31,92.77,21.46,16.34,6.03,8.96,52.79
villai,I,NA,Norops,1,40.72,72.1,11.39,6.58,5.2,11.24,10.27,8.48,0.97,1.79,16.21,4.44,6.47,9.99,11.25,7.13,6.32,34.69,7.76,6.56,2.35,3.43,20.1
vittigerus,M,M2b,Norops,5,53.63,124.2,15.18,8.76,6.64,15.08,13.68,11.54,1.4,2.14,26.91,6.77,7.08,13.86,14.03,8.65,8.6,45.15,10.21,7.68,3.12,4.37,25.37
wattsi,I,I2,Anolis,11,50.6,71.11,15.51,8.26,6.28,16.17,14.84,11.95,1.34,2.89,22.1,7.95,7.69,11.08,12.15,7.99,8.13,39.35,9.08,7.88,2.91,4.11,23.98
williamsmittermeierorum,M,M1,Dactyloa,1,31.53,41.84,10.46,4.88,4.63,9.92,9.06,7.59,0.86,1.47,14.79,3.65,3.15,4.78,5,3.46,3.35,16.59,4.66,3.07,1.28,2.42,11.43
woodi,M,M2a,Norops,2,71.61,157.94,19.79,10.84,8.92,19.98,18.61,15.08,1.38,3.53,33.89,9.28,12.12,18.27,17.75,10.49,11.64,58.15,13.35,10.58,3.93,5.52,33.37
yoroensis,M,M2b,Norops,3,40.09,73.76,12.27,6.88,5.77,12.04,10.82,9.08,1.23,1.74,17.84,6.24,6.38,10.65,10.7,6.44,6.04,33.83,7.3,5.55,1.98,3.1,17.93
zeus,M,M2b,Norops,4,37.75,78.41,11.41,5.72,4.66,11.07,10.13,8.44,0.94,1.69,17.58,4.53,4.21,10.11,10.4,6.18,6.22,32.91,7.03,5.23,1.91,2.89,17.06
